bm25_score,semantic_score,cross_encoder_score,rrf_score,phase_numeric,is_recruiting,is_active,enrollment_log,condition_exact_match,title_query_overlap,has_eligibility,query_id,nct_id,relevance
72.2756,0.460705041885376,0.7270958845321397,0.01752118339796065,0.0,1.0,0.0,5.5254529391317835,1.0,0.6666666666666666,1.0,1,NCT04720339,3
71.634895,0.5891664624214172,0.7302523590910821,0.02472929470295581,0.0,1.0,0.0,4.6913478822291435,1.0,0.6666666666666666,1.0,1,NCT06232265,3
0.0,0.0,0.7176819958506839,0.0,0.0,0.0,0.0,5.472270673671475,1.0,0.0,1.0,1,NCT04266691,1
58.073708,0.6311023235321045,0.7301619309201767,0.018715105763938034,2.0,0.0,0.0,4.653960350157523,1.0,0.6666666666666666,1.0,1,NCT04212052,1
71.487686,0.5162609815597534,0.7299943986963614,0.01968100673105063,2.0,1.0,0.0,3.4339872044851463,1.0,0.8333333333333334,1.0,1,NCT07084610,3
56.634205,0.0,0.728204833427422,0.005154639175257732,1.0,1.0,0.0,2.772588722239781,1.0,0.6666666666666666,1.0,1,NCT03193567,3
71.362175,0.47951579093933105,0.7297923402858008,0.017569676700111482,0.0,1.0,0.0,4.90527477843843,1.0,0.8333333333333334,1.0,1,NCT06020430,3
70.88232,0.5623476505279541,0.7302061081914125,0.02186147186147186,0.0,0.0,1.0,2.302585092994046,1.0,0.8333333333333334,1.0,1,NCT04175769,3
51.470818,0.0,0.7300807512248096,0.0019083969465648854,0.0,0.0,0.0,6.456769655572163,1.0,0.6666666666666666,1.0,1,NCT05205226,2
68.698685,0.6677573919296265,0.7298755136283784,0.027242401779095628,0.0,0.0,0.0,3.9318256327243257,1.0,0.8333333333333334,1.0,1,NCT04682327,3
66.68278,0.6820169687271118,0.7303351379455506,0.026120660599932594,2.0,1.0,0.0,4.1588830833596715,1.0,0.8333333333333334,1.0,1,NCT06849167,3
64.08381,0.7042778134346008,0.7301363055435777,0.025693893735130847,0.0,0.0,0.0,5.707110264748875,1.0,1.0,1.0,1,NCT04263688,3
63.376827,0.6312209963798523,0.7302894830040769,0.02220873786407767,2.0,1.0,0.0,3.713572066704308,1.0,1.0,1.0,1,NCT06718309,3
58.048214,0.7079291343688965,0.7302353105979693,0.022202129797066504,4.0,1.0,0.0,4.110873864173311,1.0,0.8333333333333334,1.0,1,NCT07320105,2
61.99738,0.62876296043396,0.7299400479423308,0.02066888242625675,2.5,1.0,0.0,7.0909098220799835,1.0,0.6666666666666666,1.0,1,NCT04322617,3
64.438126,0.5890057682991028,0.7302176390942949,0.020235053653551355,0.0,0.0,0.0,4.290459441148391,1.0,0.6666666666666666,1.0,1,NCT06974097,3
56.98048,0.6822588443756104,0.7302891307999297,0.020200387847446672,0.0,0.0,0.0,6.2166061010848646,1.0,1.0,1.0,1,NCT05486988,3
56.16358,0.6915634870529175,0.7296884479230584,0.01964235426640383,0.0,0.0,1.0,4.394449154672439,1.0,0.8333333333333334,1.0,1,NCT07359040,3
57.406887,0.6536704301834106,0.7302124607944762,0.018839712918660288,0.0,0.0,0.0,4.90527477843843,1.0,1.0,1.0,1,NCT06580665,3
59.20333,0.6160979866981506,0.7302695477929351,0.01855788096795291,2.0,0.0,0.0,4.110873864173311,1.0,1.0,1.0,1,NCT04941417,3
68.55983,0.5088832974433899,0.7302262694547219,0.017553223032675088,2.5,0.0,0.0,4.795790545596741,1.0,1.0,1.0,1,NCT01481259,3
60.213852,0.5805632472038269,0.7301346026113062,0.016405517610820944,1.0,0.0,0.0,3.4339872044851463,1.0,0.6666666666666666,1.0,1,NCT03282435,3
0.0,0.7104652523994446,0.7302853621973978,0.01639344262295082,2.0,1.0,0.0,3.258096538021482,1.0,0.5,1.0,1,NCT06275360,3
0.0,0.7082709074020386,0.7300851676457908,0.016129032258064516,1.5,0.0,0.0,1.0986122886681098,1.0,0.0,1.0,1,NCT04037462,3
53.910305,0.7068281173706055,0.7302849630288294,0.018673780487804877,2.0,1.0,0.0,3.044522437723423,1.0,0.6666666666666666,1.0,1,NCT06065813,3
62.980816,0.5364148616790771,0.7302169345673907,0.015543738678197862,2.5,0.0,0.0,4.574710978503383,1.0,0.6666666666666666,1.0,1,NCT01631357,3
51.808372,0.698075532913208,0.7297807861777155,0.017192331478045764,2.0,0.0,0.0,3.7612001156935624,1.0,0.8333333333333334,1.0,1,NCT05460195,3
73.65809,0.0,0.5017954108437691,0.013157894736842105,1.5,0.0,0.0,3.828641396489095,1.0,0.8333333333333334,1.0,2,NCT04265963,1
79.14642,0.0,0.729878075445055,0.015384615384615385,1.0,0.0,1.0,3.4339872044851463,1.0,0.8333333333333334,1.0,2,NCT03186118,3
61.306152,0.3461935520172119,0.5003056613405844,0.00802368056430281,0.0,0.0,0.0,1.3862943611198906,0.0,0.3333333333333333,1.0,2,NCT04473937,1
62.499928,0.3807711601257324,0.5099906623446286,0.009948916995694751,0.0,1.0,0.0,3.9318256327243257,1.0,0.6666666666666666,1.0,2,NCT05618041,1
71.79224,0.0,0.5003455893342935,0.012048192771084338,2.5,0.0,0.0,3.044522437723423,0.0,0.8333333333333334,1.0,2,NCT03631576,1
81.279816,0.0,0.6799303427934361,0.01639344262295082,2.0,1.0,0.0,3.258096538021482,1.0,0.5,1.0,2,NCT06847269,3
0.0,0.0,0.5003259604684235,0.0,1.5,0.0,0.0,3.258096538021482,0.0,0.3333333333333333,1.0,2,NCT03296137,1
80.37795,0.0,0.7298042936998803,0.016129032258064516,1.0,1.0,0.0,3.4339872044851463,1.0,0.8333333333333334,1.0,2,NCT06777979,3
60.46523,0.3352240324020386,0.500292652427793,0.006943087160873005,2.0,0.0,0.0,4.110873864173311,1.0,0.6666666666666666,1.0,2,NCT03258047,1
79.436035,0.38044285774230957,0.7216926884012487,0.01925139425139425,1.5,0.0,1.0,3.7612001156935624,1.0,0.6666666666666666,1.0,2,NCT04571138,3
66.52125,0.45435217022895813,0.5003799404799743,0.017371033238080917,0.0,0.0,0.0,4.394449154672439,1.0,0.3333333333333333,1.0,2,NCT04280133,1
79.2494,0.42071688175201416,0.7302069301601525,0.02108948087431694,1.0,0.0,1.0,1.6094379124341003,1.0,0.8333333333333334,1.0,2,NCT03244306,3
54.550205,0.36847183108329773,0.5003914732151754,0.005856829251560678,0.5,0.0,0.0,2.302585092994046,1.0,0.3333333333333333,1.0,2,NCT04191941,2
0.0,0.0,0.5003756480166786,0.0,1.5,0.0,0.0,3.828641396489095,0.0,0.16666666666666666,1.0,2,NCT02958384,1
76.6343,0.49196359515190125,0.7298583796169696,0.027809742999616416,1.0,1.0,0.0,2.9444389791664403,0.0,0.5,1.0,2,NCT06326463,3
0.0,0.3719135522842407,0.5007498778484897,0.0030581039755351682,1.5,0.0,0.0,3.828641396489095,1.0,0.16666666666666666,1.0,2,NCT02958410,2
60.34458,0.0,0.5003632969398542,0.005025125628140704,1.5,0.0,0.0,3.9318256327243257,0.0,0.6666666666666666,1.0,2,NCT02782351,3
76.17779,0.3974039852619171,0.7298893096530673,0.01916266126992158,1.5,0.0,1.0,5.123963979403259,1.0,0.8333333333333334,1.0,2,NCT02028455,3
